Loading modules.
Loading easybuild, site, slurm/wulver
Loading GCCcore, binutils, Bison
Loading GCC libunwind FFmpeg OpenMPI Mesa
Modules loaded.
0.000000000000000,0.002499985076979,0.999994030791565
[1719356779.573852] [n0097:3675362:0]           ib_md.c:1230 UCX  WARN  IB: ibv_fork_init() was disabled or failed, yet a fork() has been issued.
[1719356779.573887] [n0097:3675362:0]           ib_md.c:1231 UCX  WARN  IB: data corruption might occur when using registered memory.
0.000000182127279,0.002499985076979,0.999994030791565
0.000000626611896,0.002499984561073,0.999993824429126
0.000001101774598,0.002499981121624,0.999992448649713
0.000001542568234,0.002499987095503,0.999994838201291
0.000001763701435,0.002499991177663,0.999996471065340
0.000001995432378,0.002499995978853,0.999998391541025
0.000002214771751,0.002499992716897,0.999997086758896
0.000002423759716,0.002500007260271,1.000002904108426
0.000002577549111,0.002500012768528,1.000005107411069
0.000002745313964,0.002500020947816,1.000008379126467
0.000002926089223,0.002500017311802,1.000006924720830
0.000003137156376,0.002500012264799,1.000004905919631
0.000003357069872,0.002500003236611,1.000001294644417
0.000003586954392,0.002499998303929,0.999999321571411
0.000003780108415,0.002499999231341,0.999999692536363
0.000003977514731,0.002499999373764,0.999999749505454
0.000004165793514,0.002500008180714,1.000003272285536
0.000004359183119,0.002500006503614,1.000002601445453
0.000004552998042,0.002500015763539,1.000006305415760
0.000004751421591,0.002500024398655,1.000009759462110
0.000004940750484,0.002500039345595,1.000015738237883
0.000005134937132,0.002500060325336,1.000024130134518
0.000005329152256,0.002500081847767,1.000032739106887
0.000005527240568,0.002500113772365,1.000045508945994
0.000005711380809,0.002500158718697,1.000063487478652
0.000005901384662,0.002500204980888,1.000081992355001
0.000006092680032,0.002500258171130,1.000103268451915
0.000006290337100,0.002500312394563,1.000124957825125
0.000006488036495,0.002500370419288,1.000148167715288
0.000006688924453,0.002500428309724,1.000171323889678
0.000006864561227,0.002500484863078,1.000193945231137
0.000007047709802,0.002500529090390,1.000211636155808
0.000007234468081,0.002500570652970,1.000228261188107
0.000007431681842,0.002500604171835,1.000241668734160
0.000007631492495,0.002500640161419,1.000256064567640
0.000007837310243,0.002500666574964,1.000266629985783
0.000008028236612,0.002500695595512,1.000278238204819
0.000008223206215,0.002500702839953,1.000281135981373
0.000008413289967,0.002500690479481,1.000276191792441
0.000008607167463,0.002500650602032,1.000260240812787
0.000008795967172,0.002500591687443,1.000236674977352
0.000008989046444,0.002500506796695,1.000202718677991
0.000009179324931,0.002500449568238,1.000179827295291
0.000009374028279,0.002500522377744,1.000208951097762
0.000009560802358,0.002500545160806,1.000218064322565
0.000009752463612,0.002500610775711,1.000244310284367
0.000009944348591,0.002500630859506,1.000252343802328
0.000010140253840,0.002500680406881,1.000272162752289
0.000010326532216,0.002500691458437,1.000276583374784
